State,Crop,pH_Min,pH_Max,Soil_Type,Source_Level,Source_URL
Tennessee,Corn,6,6.5,both,Region - Southeast/Mid-South,https://extension.tennessee.edu/publications/documents/W235-A.pdf
Tennessee,Cotton,5.8,6.5,both,State - UT Extension W1033 (cotton-specific),https://utia.tennessee.edu/publications/wp-content/uploads/sites/269/2023/10/W1033.pdf
Tennessee,Sorghum,6,6.5,both,Region - Southeast/Mid-South,https://extension.tennessee.edu/publications/documents/W235-A.pdf
Tennessee,Winter Wheat,6,6.5,both,Region - Southeast/Mid-South,https://extension.tennessee.edu/publications/documents/W235-A.pdf
Texas,Corn,6,7,both,State,https://soiltesting.tamu.edu/
Texas,Cotton,6,7,both,State,https://soiltesting.tamu.edu/
Texas,Sorghum,6,7,both,State,https://soiltesting.tamu.edu/
Texas,Winter Wheat,6,7,both,State,https://soiltesting.tamu.edu/
Texas,Rice,5,6.5,both,State,https://soiltesting.tamu.edu/
North Dakota,Corn,5.8,7.5,both,State,https://www.ndsu.edu/agriculture/extension/publications/soil-fertility-recommendations-corn
North Dakota,Spring Wheat,5.8,7.5,both,State,https://www.ndsu.edu/agriculture/extension/publications/fertilizing-hard-red-spring-wheat-and-durum
North Dakota,Barley,5.8,7.5,both,State,https://www.ndsu.edu/agriculture/extension/publications/north-dakota-fertilizer-recommendation-tables-and-equations
North Dakota,Winter Wheat,5.8,7.5,both,State,https://www.ndsu.edu/agriculture/extension/publications/north-dakota-fertilizer-recommendation-tables-and-equations
North Dakota,Durum Wheat,5.8,7.5,both,State,https://www.ndsu.edu/agriculture/extension/publications/fertilizing-hard-red-spring-wheat-and-durum
Colorado,Corn,6,7.5,both,State,https://extension.colostate.edu/resource/changing-soil-ph/
Colorado,Winter Wheat,6,7.5,both,State,https://extension.colostate.edu/resource/changing-soil-ph/
Colorado,Sorghum,6,7.5,both,State,https://extension.colostate.edu/resource/changing-soil-ph/
Colorado,Barley,6,7.5,both,State,https://extension.colostate.edu/resource/changing-soil-ph/
Maryland,Corn,6,6.5,both,State,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Maryland,Winter Wheat,6,6.5,both,State,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Maryland,Barley,6,6.5,both,State,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Maryland,Sorghum,6,6.5,both,State,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Delaware,Corn,6,6.5,both,Region - Mid-Atlantic,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Delaware,Winter Wheat,6,6.5,both,Region - Mid-Atlantic,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Delaware,Barley,6,6.5,both,Region - Mid-Atlantic,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Delaware,Sorghum,6,6.5,both,Region - Mid-Atlantic,https://extension.umd.edu/sites/extension.umd.edu/files/2021-03/B-1.pdf
Montana,Corn,6,7.5,both,State,https://landresources.montana.edu/soilfertility/documents/PDF/sscoop/SoilAcidifProbCauseTestSS.pdf
Montana,Winter Wheat,6,7.5,both,State,https://landresources.montana.edu/soilfertility/documents/PDF/sscoop/SoilAcidifProbCauseTestSS.pdf
Montana,Barley,6,7.5,both,State,https://landresources.montana.edu/soilfertility/documents/PDF/sscoop/SoilAcidifProbCauseTestSS.pdf
Montana,Spring Wheat,6,7.5,both,State,https://landresources.montana.edu/soilfertility/documents/PDF/sscoop/SoilAcidifProbCauseTestSS.pdf
Idaho,Corn,6,7.5,both,State,https://www.uidaho.edu/extension/county/canyon
Idaho,Winter Wheat,6,7.5,both,State,https://www.uidaho.edu/extension/county/canyon
Idaho,Barley,6,7.5,both,State,https://www.uidaho.edu/extension/county/canyon
Idaho,Spring Wheat,6,7.5,both,State,https://www.uidaho.edu/extension/county/canyon
Washington,Corn,6,7,both,State,https://pubs.extension.wsu.edu/
Washington,Winter Wheat,6,7,both,State,https://pubs.extension.wsu.edu/
Washington,Barley,6,7,both,State,https://pubs.extension.wsu.edu/
Washington,Spring Wheat,6,7,both,State,https://pubs.extension.wsu.edu/
Oregon,Corn,6,7,both,State,https://extension.oregonstate.edu/
Oregon,Winter Wheat,6,7,both,State,https://extension.oregonstate.edu/
Oregon,Barley,6,7,both,State,https://extension.oregonstate.edu/
Oregon,Spring Wheat,6,7,both,State,https://extension.oregonstate.edu/
California,Corn,6,7,both,State,https://anrcatalog.ucanr.edu/
California,Rice,5,6.5,both,State,https://anrcatalog.ucanr.edu/
California,Winter Wheat,6,7,both,State,https://anrcatalog.ucanr.edu/
California,Barley,6,7.5,both,State,https://anrcatalog.ucanr.edu/
California,Sorghum,6,7,both,State,https://anrcatalog.ucanr.edu/
California,Cotton,6,7,both,State,https://anrcatalog.ucanr.edu/
Arizona,Corn,basic soil,basic soil,both,State,https://extension.arizona.edu/
Arizona,Cotton,basic soil,basic soil,both,State,https://extension.arizona.edu/
Arizona,Sorghum,basic soil,basic soil,both,State,https://extension.arizona.edu/
Arizona,Winter Wheat,basic soil,basic soil,both,State,https://extension.arizona.edu/
Arizona,Barley,basic soil,basic soil,both,State,https://extension.arizona.edu/
Arizona,Durum Wheat,basic soil,basic soil,both,State,https://extension.arizona.edu/
Nevada,Corn,basic soil,basic soil,both,State,https://extension.unr.edu/
Nevada,Winter Wheat,basic soil,basic soil,both,State,https://extension.unr.edu/
Nevada,Barley,basic soil,basic soil,both,State,https://extension.unr.edu/
New Mexico,Corn,basic soil,basic soil,both,State,https://pubs.nmsu.edu/_a/A146/
New Mexico,Cotton,basic soil,basic soil,both,State,https://pubs.nmsu.edu/_a/A146/
New Mexico,Sorghum,basic soil,basic soil,both,State,https://pubs.nmsu.edu/_a/A146/
New Mexico,Winter Wheat,basic soil,basic soil,both,State,https://pubs.nmsu.edu/_a/A146/
New Mexico,Barley,basic soil,basic soil,both,State,https://pubs.nmsu.edu/_a/A146/
Utah,Corn,basic soil,basic soil,both,State,https://extension.usu.edu/
Utah,Winter Wheat,basic soil,basic soil,both,State,https://extension.usu.edu/
Utah,Barley,basic soil,basic soil,both,State,https://extension.usu.edu/
Wyoming,Corn,basic soil,basic soil,both,State,https://wyoextension.org/publications/html/B1358/
Wyoming,Winter Wheat,basic soil,basic soil,both,State,https://wyoextension.org/publications/html/B1358/
Wyoming,Barley,basic soil,basic soil,both,State,https://wyoextension.org/publications/html/B1358/
California,Durum Wheat,6.3,7,both,Region - Cornell Agronomy Fact Sheet 5 (wheat generally; not CA-specific),http://cceonondaga.org/resources/soil-ph-for-field-crops
Colorado,Spring Wheat,6.3,7,both,Region - Cornell Agronomy Fact Sheet 5 (wheat generally; not CO-specific),http://cceonondaga.org/resources/soil-ph-for-field-crops
Florida,Cotton,6.5,6.5,both,State - UF/IFAS SL-129 Table 2,https://edis.ifas.ufl.edu/publication/SS163
Kansas,Cotton,6,6.5,both,Region - Missouri Extension G4256 (cotton-specific; not KS-specific),https://extension.missouri.edu/publications/g4256
Missouri,Rice,5,6.5,both,Region - Arkansas Extension MP192 (not MO-specific),https://www.uaex.uada.edu/publications/pdf/mp192/chapter-9.pdf
Montana,Durum Wheat,6,7.5,both,State,https://landresources.montana.edu/soilfertility/documents/PDF/sscoop/SoilAcidifProbCauseTestSS.pdf
New Jersey,Corn,6,7,both,Region - Penn State Extension (corn-specific; not NJ-specific),https://extension.psu.edu/soil-acidity-and-aglime
New Jersey,Winter Wheat,6,7,both,Region - Penn State Extension (wheat-specific; not NJ-specific),https://extension.psu.edu/soil-acidity-and-aglime
West Virginia,Winter Wheat,5.8,6.2,both,State - WVU Extension Crop Fertilizer Recommendations Table 9,https://extension.wvu.edu/files/d/6a116f8f-955c-41d1-9cbf-d2d9c1bda919/crop-fertilizer-recommendations.pdf
West Virginia,Corn,6.2,6.5,both,Region - Virginia Tech Extension SPES-298 (corn-specific; not WV-specific),https://ext.vt.edu/content/pubs_ext_vt_edu/en/SPES/SPES-298/SPES-298.html
West Virginia,Barley,6,6.5,both,State - WVU Extension Crop Fertilizer Recommendations Table 9,https://extension.wvu.edu/files/d/6a116f8f-955c-41d1-9cbf-d2d9c1bda919/crop-fertilizer-recommendations.pdf
West Virginia,Sorghum,5.8,6.2,both,State - WVU Extension Crop Fertilizer Recommendations Table 9,https://extension.wvu.edu/files/d/6a116f8f-955c-41d1-9cbf-d2d9c1bda919/crop-fertilizer-recommendations.pdf
Indiana,Sorghum,6,6.5,both,State - Purdue Extension AY-253 (sorghum-specific),https://www.extension.purdue.edu/extmedia/AY/AY-253-W.html
Indiana,Barley,6.2,6.8,both,State - Purdue Extension AY-253 (barley-specific),https://www.extension.purdue.edu/extmedia/AY/AY-253-W.html
